Name,Sales,Date
Lavern Malone,401091,3-1-2020
Lizzie Haggins,571388,3-1-2020
Sun Kaplan,722080,3-1-2020
Glady Sugarman,951726,3-1-2020
Corine Shepherd,481284,3-1-2020
Donny Mailhot,1205690,3-1-2020
Tressie Morphis,907193,3-1-2020
Kallie Penrod,245572,3-1-2020
Sharell Hooten,565627,3-1-2020
Cori Raub,652323,3-1-2020
Melda Masten,1157050,3-1-2020
Miriam Cadena,955618,3-1-2020
Alejandrina Mandelbaum,346700,3-1-2020
Rosario Rizzo,1006465,3-1-2020
Latisha Swink,576391,3-1-2020
Tory Martin,495290,3-1-2020
Asuncion Herbst,709849,3-1-2020
Delicia Symes,157656,3-1-2020
Myrtle Cossey,209447,3-1-2020
Shella Bassler,1195179,3-1-2020
Kacy Warren,1001749,3-1-2020
Rick Keffer,1026249,3-1-2020
Betsy Meserve,53185,3-1-2020
Niki Millar,70328,4-1-2020
Chet Pitts,71714,4-1-2020
Betsy Meserve,273058,4-1-2020
Dave Dressler,1276301,4-1-2020
Angelic Flury,426113,4-1-2020
Roxanna Cheyne,1341854,4-1-2020
Chastity Brugger,511766,4-1-2020
Davida Barsky,96067,4-1-2020
Roxanne Linzey,1141864,4-1-2020
Julienne Riesgo,78137,4-1-2020
Monique Valtierra,1060832,4-1-2020
Rodger Steere,506902,4-1-2020
Monique Valtierra,814832,4-1-2020
Roxanna Cheyne,1336427,4-1-2020
Ariel Maley,398301,4-1-2020
Nerissa Vanatta,888126,4-1-2020
Ginger Riordan,500472,4-1-2020
Natalie Karlin,978470,4-1-2020
Jaqueline Almquist,956772,4-1-2020
Lanette Buckingham,1175179,4-1-2020
Enda Mascorro,883028,4-1-2020
Amy Shockley,1495609,4-1-2020
Delphine Teague,223811,4-1-2020
Dorla Harbert,589992,4-1-2020
Titus Burling,1393094,4-1-2020
Tora Theodore,775935,4-1-2020
Hugo Nardone,815000,4-1-2020
Alejandrina Mandelbaum,260491,4-1-2020
Eunice Barriere,282396,4-1-2020
Brianna Navas,873266,4-1-2020
Tanja Inks,10688,4-1-2020
Ivonne Yeoman,849628,4-1-2020
Delisa Gurganus,1485407,4-1-2020
Asuncion Herbst,980362,4-1-2020
Flor Fairchild,1019372,4-1-2020
Enda Mascorro,1278322,4-1-2020
Ardis Wille,1350475,4-1-2020
Eladia Karg,1052508,5-1-2020
Darlena Vang,225646,5-1-2020
Victor Roselli,349343,5-1-2020
Frankie Argento,322795,5-1-2020
Elissa Sitsler,358984,5-1-2020
Denisha Ogden,185527,5-1-2020
Olene Reitz,240408,5-1-2020
Angelic Flury,1124766,5-1-2020
Katherine Lafontant,80459,5-1-2020
Collin Millsap,892532,5-1-2020
Hosea Cybart,805074,5-1-2020
Stormy Edberg,332636,5-1-2020
Lakita Hakes,1226092,5-1-2020
Melody Bouffard,459766,5-1-2020
Ernesto Cullison,1154846,5-1-2020
Nguyet Vaz,761977,5-1-2020
Marica Chavous,565742,5-1-2020
Toni Mullen,309741,5-1-2020
Samantha Atilano,795287,5-1-2020
Leonore Degreenia,1473432,5-1-2020
Michell Corrigan,870132,5-1-2020
Darnell Rich,860703,5-1-2020
Larraine Gobeil,1427269,5-1-2020
Valentine Switzer,185954,5-1-2020
Dustin Coyne,1104125,5-1-2020
Danette Dolce,1236587,5-1-2020
Janise Tercero,386748,5-1-2020
Lorilee Crosland,1420503,5-1-2020
Sarita Cripe,507741,5-1-2020
Odessa Meaney,142113,5-1-2020
Celestina Dartez,978296,5-1-2020
Lorie Blount,601948,5-1-2020
Lillian Mumford,1330541,5-1-2020
Leanne Rowles,1022937,5-1-2020
Titus Burling,708006,6-1-2020
Shawnna Whitley,375707,6-1-2020
Melody Bouffard,1475441,6-1-2020
Hugo Nardone,1019850,6-1-2020
Lawana Styers,1401289,6-1-2020
Ayako Frick,1041200,6-1-2020
Sarai Yoo,1450441,6-1-2020
Noemi Mcabee,997384,6-1-2020
Latisha Swink,1303490,6-1-2020
Collin Millsap,785384,6-1-2020
Shayla Jacobi,225362,6-1-2020
Julio Zemlicka,707914,6-1-2020
Vera Mckamie,362666,6-1-2020
Phil Quintero,100361,6-1-2020
Madalyn Unsworth,1205928,6-1-2020
Serita Pederson,1464471,6-1-2020
Elliot Mccaffery,414386,6-1-2020
Naida Ostby,1497608,6-1-2020
Pearly Arreguin,367740,6-1-2020
Joelle Feldman,945765,6-1-2020
Lilia Despres,327634,6-1-2020
Angelic Flury,691739,6-1-2020
Leeanna Link,221195,6-1-2020
Adrianna Sweetland,620119,6-1-2020
Wilber Simmer,1277106,6-1-2020
Eugena Trojanowski,1430944,6-1-2020
Elissa Sitsler,1124467,6-1-2020
Millicent Beamon,1038584,6-1-2020
Izola Adams,351679,6-1-2020
Ivonne Yeoman,261246,6-1-2020
Toni Mullen,1282122,7-1-2020
Brendan Acton,388006,7-1-2020
Leticia Michelsen,615020,7-1-2020
Virgie Gibb,148841,7-1-2020
Antony Fett,1429899,7-1-2020
Shawnna Whitley,1487473,7-1-2020
Rochelle Patnode,1109574,7-1-2020
Corine Shepherd,1363740,7-1-2020
Rosette Custer,1077106,7-1-2020
Hilaria Ashmore,68566,7-1-2020
Mariette Huson,1255006,7-1-2020
Allyson Ancheta,322086,7-1-2020
Tabetha Cressey,146125,7-1-2020
Marianela Henline,959515,7-1-2020
Shayla Jacobi,150318,7-1-2020
Ria Lightbody,340026,7-1-2020
Stephani Eisenmann,737249,7-1-2020
Amy Shockley,868596,7-1-2020
Dorla Harbert,282738,7-1-2020
Elijah Reuss,978352,7-1-2020
Cleveland Tung,198792,7-1-2020
Lauren Stephenson,748236,7-1-2020
Belva Antos,1081646,7-1-2020
Kacy Warren,1034106,7-1-2020
Martha Stiverson,606158,7-1-2020
Krishna Shimp,1237076,7-1-2020
Madie Nevels,69227,7-1-2020
Ima Gaudreau,142213,7-1-2020
Elliot Mccaffery,41234,7-1-2020
Frederica Powe,1182918,7-1-2020
Toni Mullen,1297891,8-1-2020
Serina Ballantyne,1132940,8-1-2020
Sydney Baskerville,1349167,8-1-2020
Carmine Hamburg,371103,8-1-2020
Emiko Fredricks,1201547,8-1-2020
Harland Greenspan,964894,8-1-2020
Angela Strawbridge,920173,8-1-2020
Leanne Rowles,194507,8-1-2020
Elroy Eddings,177949,8-1-2020
Emiko Fredricks,1360910,8-1-2020
Roxie Broady,1334483,8-1-2020
Illa Jaffee,1306891,8-1-2020
Pinkie Bufford,616367,8-1-2020
Isiah Delaughter,681774,8-1-2020
Marilyn Eiler,287442,8-1-2020
Tanja Inks,372352,8-1-2020
Anderson Mcray,398049,8-1-2020
Wendell Ginsburg,372691,8-1-2020
Ruthie Poe,819187,8-1-2020
Harland Greenspan,486143,8-1-2020
Sha Middlebrooks,725493,8-1-2020
Lissette Heidelberg,365044,8-1-2020
Giuseppe Deville,1270367,8-1-2020
Sherrell Blann,255086,8-1-2020
Zachary Novello,1403691,8-1-2020
Melody Bouffard,1426381,8-1-2020
Del Najar,934686,8-1-2020
Betsy Meserve,327666,8-1-2020
Patti Boeke,257238,8-1-2020
Sharee Penfield,265426,8-1-2020
Buster Keppler,720623,8-1-2020
Belva Antos,890149,8-1-2020
Tomika Hedberg,263458,8-1-2020
Calandra Brickner,1478354,8-1-2020
Jeanmarie Drown,99385,8-1-2020
Woodrow Colin,366880,8-1-2020
Vina Gascon,1320978,8-1-2020
Victor Roselli,39649,8-1-2020
Chrystal Cephas,1438769,8-1-2020
Susanna Brandes,1348568,8-1-2020
Paige Bain,1075698,8-1-2020
Romelia Armbruster,77436,8-1-2020
Lavette Duggan,740248,8-1-2020
Cherri Hayden,271878,8-1-2020
Ozie Simerly,752581,9-1-2020
Bennie Frei,1051363,9-1-2020
Luigi Bevins,1158632,9-1-2020
Fabian Gamez,1077102,9-1-2020
Ruthie Poe,539732,9-1-2020
Dorcas Oakley,132309,9-1-2020
Melda Masten,582552,9-1-2020
Charisse Orman,993662,9-1-2020
Calandra Brickner,1084694,9-1-2020
Alan Tee,1128801,9-1-2020
Judie Pocock,1463872,9-1-2020
Pearly Arreguin,144985,9-1-2020
Bennie Krom,198875,9-1-2020
Georgine Aigner,1334296,9-1-2020
Charisse Orman,651649,9-1-2020
Jude Bourland,749527,9-1-2020
Crissy Windsor,652582,9-1-2020
Miles Rogowski,1109263,9-1-2020
Josefina Schranz,1286270,9-1-2020
Shella Bassler,1383496,9-1-2020
Ahmad Karlin,838921,9-1-2020
Jung Irion,1292227,9-1-2020
Delisa Gurganus,862557,9-1-2020
Rossana Hellums,327012,9-1-2020
Lissette Heidelberg,513849,9-1-2020
Stephani Eisenmann,469301,9-1-2020
Gregorio Carwile,1400316,9-1-2020
Flor Fairchild,1442184,10-1-2020
Darnell Rich,373829,10-1-2020
Phyliss Foxwell,441224,10-1-2020
Valentine Switzer,53301,10-1-2020
Miyoko Pilot,384181,10-1-2020
Dewitt Kennerson,705557,10-1-2020
Lyman Ravenscroft,1153588,10-1-2020
Elza Tews,1039489,10-1-2020
Nickie Shott,425184,10-1-2020
Paige Bain,210433,10-1-2020
Allyson Ancheta,1316137,10-1-2020
Frederica Powe,175923,10-1-2020
Lulu Mannino,1252381,10-1-2020
Earnest Carson,936589,10-1-2020
Teresita Prouty,731350,10-1-2020
Shanice Carrera,749599,10-1-2020
Phyliss Foxwell,961913,10-1-2020
Noemi Mcabee,1106517,10-1-2020
Sharee Penfield,1466574,10-1-2020
Samatha Lair,90879,10-1-2020
Zenaida Israel,796501,10-1-2020
Stormy Edberg,48723,10-1-2020
Odessa Franz,1349772,10-1-2020
Oren Blye,1032911,10-1-2020
Pok Hesson,971246,10-1-2020
Keitha Singleterry,1016172,11-1-2020
Jaqueline Almquist,16580,11-1-2020
Vina Gascon,171420,11-1-2020
Buford Truss,727028,11-1-2020
Karlene Tuff,470937,11-1-2020
Luise Current,97847,11-1-2020
Tyron Brackett,99645,11-1-2020
Oren Blye,207117,11-1-2020
Kit Nogle,1291373,11-1-2020
Sue Raffa,1221201,11-1-2020
Cassey Brewster,482335,11-1-2020
Rima Glaspie,803712,11-1-2020
Angelic Flury,1197157,11-1-2020
Janette Werth,762088,11-1-2020
Curt Lant,724670,11-1-2020
Jung Alva,335933,11-1-2020
Danyel Ervin,377124,11-1-2020
Shanta Ramerez,1321428,11-1-2020
Belen Ruggiero,1194369,11-1-2020
Zoraida Gertner,320318,11-1-2020
Loida Tartaglia,1237664,12-1-2020
Yuri Beltran,682536,12-1-2020
Frederica Powe,132348,12-1-2020
Maragaret Tomlinson,841044,12-1-2020
Margene Collin,1111231,12-1-2020
Basilia Janco,140962,12-1-2020
Renate Ruddick,987900,12-1-2020
Georgine Aigner,335454,12-1-2020
Rubi Perro,1372315,12-1-2020
Divina Nix,643553,12-1-2020
Karlene Tuff,514042,12-1-2020
Joey Doris,1446507,12-1-2020
Meg Isabell,1291123,12-1-2020
Leanna Custis,899068,12-1-2020
Lilia Despres,58717,12-1-2020
Sharika Schuler,1023577,12-1-2020
Dominque Carney,511275,12-1-2020
Mindy Hehn,815713,12-1-2020
Faustina Quesenberry,897408,12-1-2020
Lulu Mannino,851128,12-1-2020
Treena Barna,46461,12-1-2020
Parker Gebhart,555551,12-1-2020
Shella Bassler,513932,12-1-2020
Sarai Yoo,571504,12-1-2020
Patty Minardi,139485,12-1-2020
Vina Gascon,795194,12-1-2020
Rima Glaspie,100136,12-1-2020
Rocky Larocque,1039029,12-1-2020
Paige Bain,448197,12-1-2020
Kiersten Mannion,1487909,12-1-2020
Roxanna Cheyne,861954,13-1-2020
Pinkie Bufford,1055245,13-1-2020
Phil Quintero,175051,13-1-2020
Kami Storms,367081,13-1-2020
Calandra Brickner,1201572,13-1-2020
Bobbye Mccraney,257083,13-1-2020
Evelyn Bonneau,59699,13-1-2020
Dudley Naab,1421825,13-1-2020
Isiah Delaughter,717894,13-1-2020
Dell Luckett,506366,13-1-2020
Luigi Bevins,928534,13-1-2020
Margarita Corcoran,207081,13-1-2020
Zandra Feather,1036024,13-1-2020
Ivana Murnane,1023500,13-1-2020
Lawana Styers,803893,13-1-2020
Elissa Sitsler,856161,13-1-2020
Marhta Wynne,867025,13-1-2020
Lisa Klingbeil,1318399,13-1-2020
Aaron Killingsworth,985981,13-1-2020
Thaddeus Kroeger,1230676,13-1-2020
Benedict Blumberg,933783,13-1-2020
Anastacia Groseclose,840000,13-1-2020
Dagmar Devens,1323512,13-1-2020
Mariette Huson,96951,13-1-2020
Lauren Stephenson,93974,13-1-2020
Sherrell Blann,1034579,14-1-2020
Bonita Gunnerson,800032,14-1-2020
Geri Guan,776129,14-1-2020
Octavia Gitlin,62987,14-1-2020
Corinne Wingerter,972627,14-1-2020
Crissy Windsor,50996,14-1-2020
Bonita Gunnerson,1341753,14-1-2020
Roxanne Linzey,408314,14-1-2020
Chastity Brugger,575831,14-1-2020
Dudley Naab,459007,14-1-2020
Tressie Morphis,56838,14-1-2020
Mabelle Lafleur,300085,14-1-2020
Erin Mcmurtrie,671883,14-1-2020
Elvie Plumber,1031493,14-1-2020
Elbert Setliff,1089423,14-1-2020
Dustin Coyne,1042406,14-1-2020
Tamara Marcinek,193282,14-1-2020
Dorla Harbert,511862,14-1-2020
Elvie Plumber,412527,14-1-2020
Birdie Fleischman,1117248,14-1-2020
Zora Lodge,192796,14-1-2020
Olene Reitz,11344,14-1-2020
Keesha Salamone,1024325,14-1-2020
Julienne Riesgo,308876,14-1-2020
Berry Right,484639,14-1-2020
Lillian Mumford,1222303,14-1-2020
Emerita Thibodeaux,1377085,15-1-2020
Alene Swiger,647799,15-1-2020
Parker Gebhart,215121,15-1-2020
Jaqueline Almquist,623733,15-1-2020
Leeanna Link,63035,15-1-2020
Benedict Blumberg,280320,15-1-2020
Grace Febus,550464,15-1-2020
Woodrow Colin,112174,15-1-2020
Misti Shockey,1135116,15-1-2020
Dorian Fenstermacher,344893,15-1-2020
Madalyn Unsworth,999733,15-1-2020
Thomasina Betances,1226797,15-1-2020
Chastity Brugger,556225,15-1-2020
Loida Tartaglia,869224,15-1-2020
Celestina Dartez,361064,15-1-2020
Kami Storms,740255,15-1-2020
Izola Adams,479196,15-1-2020
Charisse Orman,11357,15-1-2020
Zola Gaus,192629,15-1-2020
Estella Reinert,812298,15-1-2020
Wilber Simmer,1092192,15-1-2020
Benedict Blumberg,507075,15-1-2020
Anamaria Loos,647860,15-1-2020
Sherrell Blann,846843,15-1-2020
Christen Mcchesney,51304,16-1-2020
Dortha Kuntz,1208485,16-1-2020
Deangelo Ricci,762894,16-1-2020
Marhta Wynne,773136,16-1-2020
Ervin Scalia,796306,16-1-2020
Tomeka Matsuda,835778,16-1-2020
Chastity Immel,647664,16-1-2020
Lakeesha Ruis,465033,16-1-2020
Dewey Zalewski,805020,16-1-2020
Jacob Pitcock,833622,16-1-2020
Corinne Wingerter,329652,16-1-2020
Esmeralda Freeborn,661422,16-1-2020
Dortha Kearns,427349,16-1-2020
Wendell Ginsburg,1282521,16-1-2020
Dorian Fenstermacher,1488682,16-1-2020
Moshe Filice,224015,16-1-2020
Melda Masten,998249,16-1-2020
Madie Nevels,242355,16-1-2020
Bebe Gama,63361,16-1-2020
Krystal Molinari,168050,16-1-2020
Wynona Palmieri,251929,16-1-2020
Moshe Filice,1312302,16-1-2020
Leland Kubota,1472291,16-1-2020
Tam Pollman,436555,16-1-2020
Larraine Gobeil,357413,16-1-2020
Gerri Charon,247630,16-1-2020
Paulina Kaufmann,363537,16-1-2020
Muoi Schendel,407245,16-1-2020
Criselda Dublin,311238,16-1-2020
Dagmar Devens,1267641,16-1-2020
Chrystal Cephas,462694,16-1-2020
Bennie Frei,627067,16-1-2020
Neda Parise,668024,16-1-2020
Noemi Mcabee,72456,16-1-2020
Ashton Lacombe,234410,17-1-2020
Romelia Armbruster,1247849,17-1-2020
Rossana Hellums,455944,17-1-2020
Del Najar,667858,17-1-2020
Dorene Tarry,1114654,17-1-2020
Davida Barsky,1212567,17-1-2020
Crista Gump,1234075,17-1-2020
Hyacinth Guiney,1004980,17-1-2020
Crissy Windsor,571946,17-1-2020
Oren Blye,741848,17-1-2020
Lavette Duggan,1405231,17-1-2020
Yasmine Costello,628667,17-1-2020
Dagmar Devens,1091708,17-1-2020
Toni Mullen,1269535,17-1-2020
Alvin Riggie,343548,17-1-2020
Bambi Wynne,934807,17-1-2020
Stanley Margolin,176102,17-1-2020
Mariette Huson,1062239,17-1-2020
Georgine Aigner,1199720,17-1-2020
Odessa Franz,1225467,17-1-2020
Shanta Ramerez,200544,17-1-2020
Shae Buggs,1258970,17-1-2020
Elvie Plumber,1224526,17-1-2020
Julio Zemlicka,1486054,17-1-2020
Leonore Degreenia,115772,17-1-2020
Toni Mullen,663819,17-1-2020
Una Loll,59284,18-1-2020
Noemi Mcabee,1161848,18-1-2020
Ileen Rezentes,124441,18-1-2020
Virgie Gibb,1218867,18-1-2020
Layla Brothers,339099,18-1-2020
Latisha Swink,284287,18-1-2020
Olene Reitz,508588,18-1-2020
Zachary Novello,686022,18-1-2020
Delicia Symes,403067,18-1-2020
Erin Mcmurtrie,689220,18-1-2020
Dell Luckett,764027,18-1-2020
Williams Leno,1149107,18-1-2020
Rick Keffer,1057480,18-1-2020
Ria Lightbody,1290910,18-1-2020
Hildegarde Rench,798294,18-1-2020
Collin Millsap,702678,18-1-2020
Linnea Molton,147975,18-1-2020
Winnifred Strebel,53595,18-1-2020
Lorilee Crosland,135687,18-1-2020
Dori Gamble,765975,18-1-2020
Loan Puryear,777152,18-1-2020
Nestor Lundell,477629,18-1-2020
Amy Shockley,307658,18-1-2020
Giuseppe Deville,1105991,18-1-2020
Pearly Arreguin,1326875,18-1-2020
Birdie Fleischman,370855,19-1-2020
Leland Kubota,791266,19-1-2020
Eunice Barriere,1375732,19-1-2020
Nguyet Vaz,470089,19-1-2020
Neal Oland,251091,19-1-2020
Shella Bassler,620242,19-1-2020
Grover Ritchey,749505,19-1-2020
Layla Brothers,1136908,19-1-2020
Tomeka Matsuda,1295940,19-1-2020
Patty Minardi,1346796,19-1-2020
Palma Strasser,180293,19-1-2020
Wilber Simmer,726257,19-1-2020
Aundrea Bakker,1214807,19-1-2020
Lashawna Granata,679155,19-1-2020
Rima Glaspie,224879,19-1-2020
Tory Martin,1419747,19-1-2020
Morgan Caylor,847147,19-1-2020
Nestor Lundell,11844,19-1-2020
Dollie Seymour,340353,19-1-2020
Hester Mazzariello,1125133,19-1-2020
Paulina Kaufmann,950539,19-1-2020
Neda Parise,1460022,19-1-2020
Tabetha Cressey,980303,19-1-2020
Treena Barna,1450497,19-1-2020
Emelia Anders,1480144,19-1-2020
Felicitas Pine,144286,19-1-2020
Alexa Seitz,999415,19-1-2020
Susannah Watkin,394565,19-1-2020
Berry Right,1370005,19-1-2020
Isiah Delaughter,988381,19-1-2020
Delphine Teague,345180,20-1-2020
Jerlene Wasson,95719,20-1-2020
Del Najar,209288,20-1-2020
Marhta Wynne,747884,20-1-2020
Ruthie Poe,1033762,20-1-2020
Hyacinth Guiney,1472480,20-1-2020
Renate Ruddick,983587,20-1-2020
Veronica Hertzler,1180907,20-1-2020
Linnea Molton,1098863,20-1-2020
Sydney Baskerville,255314,20-1-2020
Margene Walden,483529,20-1-2020
Geoffrey Jorstad,714460,20-1-2020
Wendolyn Fessenden,553688,20-1-2020
Morgan Caylor,1452402,20-1-2020
Madie Nevels,442087,20-1-2020
Darnell Rich,1077428,20-1-2020
Lyman Mcgarry,1110109,20-1-2020
Alda Marciniak,1296766,20-1-2020
Nickie Shott,285477,20-1-2020
Ardath Albro,464956,20-1-2020
Dagmar Devens,1093239,20-1-2020
Farah Munsterman,499491,20-1-2020
Geoffrey Jorstad,1330763,20-1-2020
Julienne Riesgo,982701,21-1-2020
Margene Walden,739883,21-1-2020
Ima Gaudreau,405340,21-1-2020
Herta Weidner,30426,21-1-2020
Charisse Orman,1468274,21-1-2020
Criselda Dublin,1317753,21-1-2020
Alexa Seitz,1216284,21-1-2020
Vallie Bakke,1015844,21-1-2020
Shawnna Whitley,748930,21-1-2020
Tilda Alarcon,603197,21-1-2020
Nanci Walburn,641838,21-1-2020
Thaddeus Kroeger,621518,21-1-2020
Leonore Degreenia,290824,21-1-2020
Keitha Singleterry,952869,21-1-2020
Myrtle Cossey,1170871,21-1-2020
Ivana Murnane,218167,21-1-2020
Izola Adams,1318026,21-1-2020
Wilber Simmer,832611,21-1-2020
Anderson Mcray,1166568,21-1-2020
Vera Mckamie,131757,21-1-2020
Wan Chappell,1016515,21-1-2020
Allyson Ancheta,395368,21-1-2020
Jacquie Emrich,928839,21-1-2020
Brianna Navas,1181887,21-1-2020
Margene Collin,459951,21-1-2020
Eunice Barriere,1207122,21-1-2020
Antony Fett,1198176,21-1-2020
Myrtle Cossey,1471986,21-1-2020
Erma Gerken,97978,21-1-2020
Dagmar Devens,1339151,21-1-2020
Ronni Alberson,389470,21-1-2020
Corine Shepherd,1166454,21-1-2020
Arlinda Cogdill,642560,21-1-2020
Joey Doris,389911,21-1-2020
Rochelle Patnode,897419,21-1-2020
Felicitas Pine,416674,21-1-2020
Sachiko Sommerville,775973,21-1-2020
Shantelle Mcgrane,111915,21-1-2020
Loan Puryear,446043,21-1-2020
Julienne Riesgo,503136,21-1-2020
Sun Kaplan,758034,21-1-2020
Elissa Sitsler,1134577,21-1-2020
Tam Pollman,464700,21-1-2020
Gita Westberg,926575,22-1-2020
Rocco Prichard,174075,22-1-2020
Vilma Towner,267547,22-1-2020
Ana Ericson,103349,22-1-2020
Zoraida Gertner,167245,22-1-2020
Bryon Smail,1435681,22-1-2020
Lilia Despres,1457350,22-1-2020
Erica Packett,1121891,22-1-2020
Georgianna Calloway,586033,22-1-2020
Josiah Motta,441430,22-1-2020
Emiko Fredricks,1238174,22-1-2020
Cami Kosinski,684041,22-1-2020
Gregorio Carwile,208473,22-1-2020
Deangelo Ricci,850235,22-1-2020
Alda Marciniak,1218094,22-1-2020
Mariette Huson,1168757,22-1-2020
Wilber Simmer,156677,22-1-2020
Loida Tartaglia,287866,22-1-2020
Bennie Frei,1070433,22-1-2020
Parker Gebhart,1439812,22-1-2020
Morgan Caylor,236824,22-1-2020
Shae Buggs,249886,22-1-2020
Sharika Schuler,831590,22-1-2020
Leann Bowen,286242,22-1-2020
Janise Tercero,1164188,22-1-2020
Jerlene Wasson,80260,22-1-2020
Hester Mazzariello,743906,22-1-2020
Maragaret Tomlinson,1119309,22-1-2020
Layla Lando,858085,22-1-2020
Chastity Immel,198169,22-1-2020
Sha Middlebrooks,345328,23-1-2020
Marhta Wynne,349947,23-1-2020
Anderson Ojeda,1386206,23-1-2020
Shantelle Mcgrane,652286,23-1-2020
Davida Barsky,399608,23-1-2020
Ana Ericson,805359,23-1-2020
Deangelo Ricci,209418,23-1-2020
Jaqueline Almquist,705386,23-1-2020
Latina Terry,563347,23-1-2020
Madalyn Unsworth,675169,23-1-2020
Leonore Degreenia,652805,23-1-2020
Wendell Ginsburg,1261246,23-1-2020
Winnifred Strebel,570279,23-1-2020
Emiko Fredricks,342035,23-1-2020
Luigi Bevins,804267,23-1-2020
Melaine Steverson,1494922,23-1-2020
Octavia Gitlin,259483,23-1-2020
Stuart Gabor,670917,23-1-2020
Margarita Corcoran,1278250,23-1-2020
Lorna Kliebert,1096172,23-1-2020
Hester Mazzariello,378265,23-1-2020
Corinne Wingerter,380093,23-1-2020
Eunice Barriere,236000,23-1-2020
Cara Witherow,1402613,23-1-2020
Katherine Lafontant,301632,23-1-2020
Dell Luckett,655121,23-1-2020
Fabian Gamez,495497,24-1-2020
Virgie Gibb,889857,24-1-2020
Ryann Muise,1104825,24-1-2020
Odessa Meaney,1363326,24-1-2020
Angelic Flury,603947,24-1-2020
Deonna Byham,914756,24-1-2020
Ruthie Poe,358506,24-1-2020
Marcella Barber,764973,24-1-2020
Dortha Kuntz,804738,24-1-2020
Nisha Bynoe,708422,24-1-2020
Wynona Palmieri,1035228,24-1-2020
Joelle Feldman,458287,24-1-2020
Samatha Lair,752230,24-1-2020
Jacquie Emrich,1130648,24-1-2020
Lanette Buckingham,163385,24-1-2020
Kiley Stancill,1060948,24-1-2020
Lanette Buckingham,1162001,24-1-2020
Kendal Westerfield,627471,24-1-2020
Luigi Bevins,1095510,24-1-2020
Rossana Hellums,126649,24-1-2020
Paulette Yerby,234823,24-1-2020
Parker Gebhart,686925,24-1-2020
Crissy Windsor,1419566,24-1-2020
Rosette Custer,70016,24-1-2020
Miles Rogowski,1482338,24-1-2020
Divina Nix,548285,24-1-2020
Marisela Illingworth,365894,24-1-2020
Nelly Mclain,973617,24-1-2020
Mirtha Shrout,68102,24-1-2020
Nisha Bynoe,130838,24-1-2020
Serita Pederson,895939,24-1-2020
Sarita Cripe,177596,24-1-2020
Enda Mascorro,1392814,25-1-2020
Sharee Penfield,9274,25-1-2020
Divina Nix,580509,25-1-2020
Delisa Gurganus,1441004,25-1-2020
Bambi Wynne,1460544,25-1-2020
Aundrea Bakker,1174593,25-1-2020
Stuart Gabor,347696,25-1-2020
Roy Dejong,959103,25-1-2020
Taina Keifer,1360522,25-1-2020
Lorie Blount,1137768,25-1-2020
